qid,layer,persona,lang,intent,lane,reasoning_mode_sent,chat_mode_sent,lane_sent_user_tier,message_chars,session_turn,request_id,run_tag,t_first_event_s,t_first_stage_s,first_stage_name,stage_sequence,ttft_first_delta_s,ttft_first_content_s,total_s,delta_events,status_events,frame_count,max_gap_s,db_model,db_model_tier,db_ai_reasoning_mode,first_touch_tier,db_prompt_tokens,db_completion_tokens,db_total_tokens,usage_src,engine_cost_usd_db,price_model,cost_usd,fallback_flag,error_code,error_msg,response_chars,answered,abstain_flag,lang_match,relevance_screen,quality_pass,aurora_l1_budget_tokens,aurora_l1_retrieval_mode,session_id
L2-17,L2,exam_candidate,zh,diagnose,pro,deep,standard,pro,47,3,wt372-e08-run-l2-17-aa4063,run,4.4909,4.4909,intake,intake>planning>processing,6.1432,6.1432,25.6175,22,7,52,10.0513,dashscope_fast,fast,deep,,1670,206,1876,db,0.000188,qwen3.7-flash,8.061454545454545e-05,False,,,424,True,False,True,0.125,False,,,9899e51e-af68-4f14-8264-8fe34e663870
L2-18,L2,college_student,zh,theory_apply,pro,deep,standard,pro,31,1,wt372-e08-run-l2-18-4d8f88,run,1.4113,1.4113,intake,intake>planning>processing,2.1218,2.1218,23.1783,43,5,62,10.101,dashscope_fast,fast,deep,,2584,508,3092,db,0.000309,qwen3.7-flash,0.00015051636363636362,False,,,926,True,False,True,0.714,True,,,a82a4740-d880-4a6f-a581-59a3b844f542
L2-19,L2,self_learner,zh,logic_check,pro,deep,standard,pro,36,2,wt372-e08-run-l2-19-8dd316,run,0.4782,0.4782,intake,intake>planning>processing,1.0326,1.0326,27.0046,47,5,63,10.0568,dashscope_fast,fast,deep,,1322,508,1830,db,0.000183,qwen3.7-flash,0.0001108030769230769,False,,,953,True,False,True,0.667,True,,,a82a4740-d880-4a6f-a581-59a3b844f542
L2-20,L2,exam_candidate,zh,system_design,pro,deep,standard,pro,60,3,wt372-e08-run-l2-20-ab58f9,run,3.3101,3.3101,intake,intake,,3.3163,3.3326,0,2,7,0.0046,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,61,True,False,True,0.167,False,,,
L2-21,L2,researcher,zh,theory_apply,pro,deep,standard,pro,36,1,wt372-e08-run-l2-21-b3ebb9,run,0.2432,5.7457,intake,intake,,5.7478,5.758,0,2,9,5.5024,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,150,True,False,True,0.708,True,,,
L2-22,L2,beginner,zh,goal_eval,pro,deep,standard,pro,28,1,wt372-e08-run-l2-22-9981ed,run,0.8813,0.8813,intake,intake>planning,1.709,1.709,8.857,40,4,54,0.6509,dashscope_fast,fast,deep,,2605,479,3084,db,0.000308,qwen3.7-flash,0.00014722671328671325,False,,,849,True,False,True,0.688,True,,,180bf469-f42b-4dce-ae2c-1efbbe3d01a8
L2-23,L2,exam_candidate,zh,tradeoff,pro,deep,standard,pro,50,2,wt372-e08-run-l2-23-7114c2,run,30.4138,34.5618,intake,intake>planning>processing,36.3263,36.3263,54.597,14,7,38,10.066,dashscope_fast,fast,deep,,1438,134,1572,db,0.000157,qwen3.7-flash,6.350573426573426e-05,False,,,283,True,False,True,0.0,False,,,180bf469-f42b-4dce-ae2c-1efbbe3d01a8
L2-24,L2,college_student,zh,theory_apply,pro,deep,standard,pro,29,3,wt372-e08-run-l2-24-d19390,run,1.0284,1.0284,intake,intake>planning>processing,1.9454,1.9454,22.6922,35,5,52,10.0408,dashscope_fast,fast,deep,,2598,419,3017,db,0.000302,qwen3.7-flash,0.00013883300699300697,False,,,767,True,False,True,0.632,True,,,180bf469-f42b-4dce-ae2c-1efbbe3d01a8
L2-25,L2,college_student,zh,tradeoff,pro,deep,standard,pro,37,1,wt372-e08-run-l2-25-68a0f6,run,1.7758,1.7758,intake,intake,,1.7779,1.7835,0,2,7,0.0007,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,92,True,False,True,0.375,True,,,
L2-26,L2,self_learner,mixed,theory_apply,pro,deep,standard,pro,150,1,wt372-e08-run-l2-26-5f270f,run,0.1598,3.1113,intake,intake>planning>processing,3.6885,3.6885,23.6165,23,5,39,10.0208,dashscope_fast,fast,deep,,1106,217,1323,db,0.000132,qwen3.7-flash,6.436475524475524e-05,False,,,400,True,False,True,0.0,False,,,74488485-a8d0-4e16-8303-9190011dc065
L3-01,L3,exam_candidate,zh,planning,free,balanced,study_plan,,76,2,wt372-e08-run-l3-01-0601bc,run,6.1345,6.1345,handoff,handoff>planning>processing>processing,7.7975,7.7975,34.0805,30,8,54,10.063,dashscope_fast,fast,balanced,,1826,319,2145,db,0.000215,qwen3.7-flash,0.00010091692307692305,False,,,602,True,False,True,0.0,False,,,74488485-a8d0-4e16-8303-9190011dc065
L3-02,L3,exam_candidate,zh,planning,free,balanced,study_plan,,47,3,wt372-e08-run-l3-02-4a697e,run,6.0683,6.0683,handoff,handoff>planning>processing,7.6743,7.6743,23.5351,23,7,47,10.1008,dashscope_fast,fast,balanced,,1413,259,1672,db,0.000167,qwen3.7-flash,7.974699300699299e-05,False,,,527,True,False,True,0.125,False,,,74488485-a8d0-4e16-8303-9190011dc065
L3-03,L3,college_student,zh,planning,free,balanced,study_plan,,60,1,wt372-e08-run-l3-03-d3341a,run,1.4484,1.4484,handoff,handoff>reviewing>processing>processing,3.0915,3.0915,28.8123,25,8,49,10.0668,dashscope_fast,fast,balanced,,1298,248,1546,db,0.000155,qwen3.7-flash,7.462965034965035e-05,False,,,468,True,False,True,0.042,False,,,d801373b-9974-42b9-8aee-db1d19d8ac3c
L3-04,L3,professional,zh,planning,free,balanced,study_plan,,51,2,wt372-e08-run-l3-04-1b6300,run,1.3566,1.3566,handoff,handoff,,1.3581,1.3678,0,2,7,0.0004,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,72,True,False,True,0.25,False,,,
L3-05,L3,exam_candidate,zh,planning,free,balanced,study_plan,,54,3,wt372-e08-run-l3-05-964ccd,run,0.1695,4.1933,handoff,handoff>planning>processing,5.8049,5.8049,23.5718,26,7,49,10.0587,dashscope_fast,fast,balanced,,1787,284,2071,db,0.000207,qwen3.7-flash,9.492181818181818e-05,False,,,548,True,False,True,0.208,False,,,d801373b-9974-42b9-8aee-db1d19d8ac3c
L3-06,L3,self_learner,zh,planning,free,balanced,study_plan,,45,1,wt372-e08-run-l3-06-221e94,run,1.4662,1.4662,handoff,handoff>reviewing>processing>processing>processing>processing>processing>processing>processing>processing>processing>processing,107.8955,107.8955,108.1914,1,14,49,10.0981,default,,balanced,,40,194,234,db,0.000234,fallback,0.0,True,,,227,True,False,True,0.042,False,,,69892181-78ce-4a13-b748-9d676e7df4d9
L3-07,L3,beginner,zh,planning,free,balanced,study_plan,,57,2,wt372-e08-run-l3-07-334f49,run,2.1465,2.1465,handoff,handoff>understanding>processing>processing,4.2984,4.2984,50.6749,115,6,132,10.07,dashscope_fast,fast,balanced,,13527,1339,14866,db,0.001487,qwen3.7-flash,0.0006080784615384615,False,,,2181,True,False,True,0.458,True,,,69892181-78ce-4a13-b748-9d676e7df4d9
L3-08,L3,researcher,zh,planning,free,balanced,study_plan,,52,3,wt372-e08-run-l3-08-a9c468,run,1.2672,1.2672,handoff,handoff>understanding>processing>processing>processing>processing>processing>processing>processing>processing>processing>processing,106.1788,106.1788,106.3408,1,14,37,10.0939,default,,balanced,,47,194,241,db,0.000241,fallback,0.0,True,,,227,True,False,True,0.042,False,,,69892181-78ce-4a13-b748-9d676e7df4d9
L3-09,L3,professional,mixed,planning,free,balanced,study_plan,,135,1,wt372-e08-run-l3-09-aa09c8,run,1.9404,1.9404,handoff,handoff,,1.9412,1.9464,0,2,7,0.0002,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,50,True,False,True,0.0,False,,,
L3-10,L3,self_learner,zh,planning,free,balanced,study_plan,,49,1,wt372-e08-run-l3-10-3f1bbf,run,1.2186,1.2186,handoff,handoff>understanding>processing>processing,2.3353,2.3353,41.0626,83,6,100,10.0718,dashscope_fast,fast,balanced,,13491,1037,14528,db,0.001453,qwen3.7-flash,0.0005658060139860138,False,,,1753,True,False,True,0.583,True,,,3a4a4124-c876-462f-9e28-3a0b72579ed6
L3-11,L3,college_student,zh,long_context_qa,free,balanced,standard,,468,2,wt372-e08-run-l3-11-ffc752,run,2.3157,2.3157,intake,intake>understanding>processing,3.0138,3.0138,24.1351,24,5,51,10.0359,dashscope_fast,fast,balanced,,2971,286,3257,db,0.000326,qwen3.7-flash,0.000132453006993007,False,,,480,True,False,True,0.25,False,,,3a4a4124-c876-462f-9e28-3a0b72579ed6
L3-12,L3,professional,en,long_context_qa,free,balanced,standard,,1321,3,wt372-e08-run-l3-12-1efc7b,run,0.2351,5.4593,intake,intake>reviewing>processing,8.0728,8.0728,28.8065,20,5,38,10.0526,dashscope_fast,fast,balanced,,13740,217,13957,db,0.001396,qwen3.7-flash,0.0004619381818181818,False,,,433,True,False,False,0.292,False,,,3a4a4124-c876-462f-9e28-3a0b72579ed6
L3-13,L3,researcher,zh,long_context_qa,free,balanced,standard,,339,1,wt372-e08-run-l3-13-8d4c18,run,5.3187,5.3187,intake,intake>planning>processing,6.0647,6.0647,27.7771,51,5,68,10.0488,dashscope_fast,fast,balanced,,2896,632,3528,db,0.000353,qwen3.7-flash,0.0001772262937062937,False,,,1075,True,False,True,0.958,True,,,33f14e2c-dedf-4209-8129-8f17660a75e4
L3-14,L3,college_student,zh,long_context_qa,pro,deep,standard,pro,304,2,wt372-e08-run-l3-14-c01636,run,0.7484,6.0519,intake,intake>planning>processing,6.8456,6.8456,42.9072,85,5,103,10.0758,dashscope_fast,fast,deep,,2782,1028,3810,db,0.000381,qwen3.7-flash,0.0002275834965034965,False,,,1809,True,False,True,0.833,True,,,33f14e2c-dedf-4209-8129-8f17660a75e4
L3-15,L3,self_learner,zh,long_context_qa,pro,deep,standard,pro,233,3,wt372-e08-run-l3-15-104147,run,4.2792,5.3732,intake,intake>planning>processing>processing>processing>processing>processing>processing>processing,81.8745,81.8745,82.1225,1,11,34,10.0981,default,,deep,,199,580,779,db,0.000779,fallback,0.0,True,,,665,True,False,True,0.5,True,,,33f14e2c-dedf-4209-8129-8f17660a75e4
L3-16,L3,researcher,zh,long_context_qa,pro,deep,standard,pro,396,1,wt372-e08-run-l3-16-58c4b6,run,7.7377,7.7377,intake,intake>planning>processing>processing,9.0387,9.0387,35.872,31,6,50,10.0891,dashscope_fast,fast,deep,,13669,306,13975,db,0.001397,qwen3.7-flash,0.00047182783216783217,False,,,595,True,False,True,0.208,False,,,8e4fdec4-d085-46bd-bfd0-7f0c8ad9c2d4
L3-17,L3,self_learner,zh,long_context_qa,pro,deep,standard,pro,357,2,wt372-e08-run-l3-17-c95ca2,run,0.3204,2.6222,intake,intake>planning>processing,3.4687,3.4687,28.456,29,5,47,10.0561,dashscope_fast,fast,deep,,2931,421,3352,db,0.000335,qwen3.7-flash,0.0001495844755244755,False,,,686,True,False,True,0.625,True,,,8e4fdec4-d085-46bd-bfd0-7f0c8ad9c2d4
L3-18,L3,professional,mixed,long_context_qa,pro,deep,standard,pro,1053,3,wt372-e08-run-l3-18-a24123,run,1.7002,1.7002,intake,intake>planning>processing>processing>processing>processing>processing>processing>processing>processing>processing,100.5362,100.5362,100.7528,1,13,36,10.0861,default,,deep,,804,675,1479,db,0.001479,fallback,0.0,True,,,824,True,False,True,0.0,False,,,8e4fdec4-d085-46bd-bfd0-7f0c8ad9c2d4
L3-19,L3,self_learner,zh,deep_analysis,pro,deep,deep_analysis,pro,168,1,wt372-e08-run-l3-19-c1ce45,run,5.0798,5.0798,handoff,handoff>planning,6.7322,6.7322,19.6322,16,6,41,9.8338,dashscope_fast,fast,deep,,1368,128,1496,db,0.00015,qwen3.7-flash,6.0485594405594394e-05,False,,,282,True,False,True,0.083,False,,,e2a8646e-2d55-470c-9125-c467a72b8927
L3-20,L3,exam_candidate,zh,deep_analysis,pro,deep,deep_analysis,pro,147,2,wt372-e08-run-l3-20-5569af,run,0.2723,1.4693,handoff,handoff>planning>processing,3.0521,3.0521,21.994,24,7,55,10.0704,dashscope_fast,fast,deep,,1795,211,2006,db,0.000201,qwen3.7-flash,8.522923076923076e-05,False,,,433,True,False,True,0.083,False,,,e2a8646e-2d55-470c-9125-c467a72b8927
L3-21,L3,college_student,zh,deep_analysis,pro,deep,deep_analysis,pro,175,3,wt372-e08-run-l3-21-d00bcc,run,0.279,3.5948,handoff,handoff>reviewing>processing>processing>processing>processing>processing>processing>processing>processing>processing>processing,114.1497,114.1497,114.3351,1,14,37,10.0986,default,,deep,,154,692,846,db,0.000846,fallback,0.0,True,,,874,True,False,True,0.333,False,,,e2a8646e-2d55-470c-9125-c467a72b8927
L3-22,L3,researcher,zh,deep_analysis,pro,deep,deep_analysis,pro,107,1,wt372-e08-run-l3-22-151877,run,1.9982,2.2874,handoff,handoff>understanding>processing,2.9488,2.9488,27.8777,27,5,46,10.0577,dashscope_fast,fast,deep,,1262,305,1567,db,0.000157,qwen3.7-flash,8.126153846153845e-05,False,,,473,True,False,True,0.417,True,,,37de369f-c6cc-4e4a-8300-01d0be23b494
L3-23,L3,professional,zh,deep_analysis,pro,deep,deep_analysis,pro,181,2,wt372-e08-run-l3-23-a1e2cc,run,7.3237,7.3237,handoff,handoff>reviewing>processing>processing>processing>processing>processing>processing>processing>processing>processing>processing,108.9112,108.9112,109.1207,1,14,37,10.0797,default,,deep,,163,616,779,db,0.000779,fallback,0.0,True,,,712,True,False,True,0.583,True,,,37de369f-c6cc-4e4a-8300-01d0be23b494
L3-24,L3,college_student,zh,deep_analysis,pro,deep,deep_analysis,pro,141,3,wt372-e08-run-l3-24-31cb54,run,0.7576,7.0162,handoff,handoff>reviewing>processing,8.6303,8.6303,28.073,17,7,50,10.071,dashscope_fast,fast,deep,,1187,147,1334,db,0.000133,qwen3.7-flash,5.7378041958041945e-05,False,,,318,True,False,True,0.042,False,,,37de369f-c6cc-4e4a-8300-01d0be23b494
L3-25,L3,exam_candidate,zh,deep_analysis,pro,deep,deep_analysis,pro,144,1,wt372-e08-run-l3-25-f04d2d,run,0.9176,1.6382,handoff,handoff>planning>processing,3.2901,3.2901,19.0491,10,7,37,10.044,dashscope_fast,fast,deep,,1630,103,1733,db,0.000173,qwen3.7-flash,6.532475524475523e-05,False,,,207,True,False,True,0.0,False,,,77c947a9-cff9-4a29-95d2-58658d535fdd
L3-26,L3,self_learner,zh,deep_analysis,pro,deep,deep_analysis,pro,153,2,wt372-e08-run-l3-26-e378d5,run,4.6127,4.6127,handoff,handoff>reviewing>processing>processing>processing>processing>processing>processing>processing>processing>processing>processing,115.3682,115.3682,115.6285,1,14,37,10.1046,default,,deep,,138,194,332,db,0.000332,fallback,0.0,True,,,227,True,False,True,0.125,False,,,77c947a9-cff9-4a29-95d2-58658d535fdd
